MemberNo,FirstName,LastName,Email,Mobile,BirthDate,JoinedDate,LoyaltyTier,BalancePoints,SignedUpProperty,MostPlayedProperty,LastVisitDate,Locale,State,MonthlySpend,DiscountOffer,Current_CST_Time,Current_AEST_Time
1014,Leonard,Davidson,ravasic_ewi61@example.com,61400000013,08/09/1995,22/11/2019,Diamond,700,MGM Grand,Aria,23/06/2024,en-US,TX,913,,03/08/2024,04/08/2024
1015,Owen,Thomson,jasam_ubuci54@example.com,61400000014,30/12/1978,19/05/2018,Silver,561,Aria,MGM Grand,22/06/2024,en-US,NV,945,,03/08/2024,04/08/2024
1016,Adam,Springer,fugu-nukebu70@example.com,61400000015,22/01/1987,11/03/2021,Gold,840,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,977,,03/08/2024,04/08/2024
1017,Frank,Paige,vocofi_tasa6@example.com,61400000016,18/11/1992,25/07/2017,Silver,4679,Aria,Aria,20/06/2024,en-US,CA,1009,,03/08/2024,04/08/2024
1018,Tim,Hart,jotumez_eye59@example.com,61400000017,07/02/1983,14/09/2020,Diamond,3241,Bellagio,Bellagio,19/06/2024,en-US,NV,1042,,03/08/2024,04/08/2024
1019,Julia,Hemmings,tug-acopamu28@example.com,61400000018,15/04/1979,05/06/2019,Gold,15000,MGM Grand,Bellagio,18/06/2024,en-US,TX,1074,,03/08/2024,04/08/2024
1020,Sebastian,Abraham,jesum-ucuxa87@example.com,61400000019,25/05/1981,01/08/2021,Platinum,59533,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,1106,,03/08/2024,04/08/2024
1021,Jan,McLean,moyenun_ujo12@example.com,61400000020,23/04/1985,10/12/2016,Gold,61267,Casino Royale,Casino Royale,25/06/2024,en-US,NV,1138,,03/08/2024,04/08/2024
1022,Alexandra,Chapman,xuvapa-numi69@example.com,61400000021,12/08/1990,08/04/2018,Platinum,45662,Bellagio,Bellagio,26/06/2024,en-US,CA,1170,,03/08/2024,04/08/2024
1023,Angela,Hemmings,dep_oxuyimi24@example.com,61400000022,14/03/1982,10/01/2024,Bronze,75,Venetian,Venetian,24/06/2024,en-US,FL,1202,,03/08/2024,04/08/2024
1024,Caroline,Forsyth,hekebi-bowa66@example.com,61400000023,08/09/1995,15/05/2024,Diamond,45000,MGM Grand,Aria,23/06/2024,en-US,TX,1234,,03/08/2024,04/08/2024
1025,Piers,Henderson,corawer-epo11@example.com,61400000024,30/12/1978,15/01/2020,Silver,5000,Aria,MGM Grand,22/06/2024,en-US,NV,1266,,03/08/2024,04/08/2024
1026,Warren,Piper,penig_ewoco33@example.com,61400000025,22/01/1987,22/11/2019,Gold,65000,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,1298,,03/08/2024,04/08/2024
1027,Madeleine,Forsyth,nuhepe-jowa97@example.com,61400000026,18/11/1992,19/05/2018,Silver,15000,Aria,Aria,20/06/2024,en-US,CA,1331,,03/08/2024,04/08/2024
1028,Wendy,Gill,duzuf_ubopu84@example.com,61400000027,07/02/1983,11/03/2021,Diamond,28000,Bellagio,Bellagio,19/06/2024,en-US,NV,1363,,03/08/2024,04/08/2024
1029,Hannah,Wallace,cidanup_eya47@example.com,61400000028,15/04/1979,25/07/2017,Gold,25000,MGM Grand,Bellagio,18/06/2024,en-US,TX,1395,,03/08/2024,04/08/2024
1030,Jake,Wilson,gehihiw_uve67@example.com,61400000029,25/05/1981,14/09/2020,Platinum,45000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,1427,,03/08/2024,04/08/2024
1031,Eric,James,xulatob-epi46@example.com,61400000030,23/04/1985,05/06/2019,Gold,5000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,1459,,03/08/2024,04/08/2024
1032,Oliver,Dickens,jafag_udeco39@example.com,61400000031,12/08/1990,01/08/2021,Platinum,65000,Bellagio,Bellagio,26/06/2024,en-US,CA,1491,,03/08/2024,04/08/2024
1033,Penelope,Powell,towese-lusu76@example.com,61400000032,14/03/1982,10/12/2016,Bronze,480,Venetian,Venetian,24/06/2024,en-US,FL,1523,,03/08/2024,04/08/2024
1034,Grace,Brown,tisaker_are70@example.com,61400000033,08/09/1995,08/04/2018,Diamond,45667,MGM Grand,Aria,23/06/2024,en-US,TX,1555,,03/08/2024,04/08/2024
1035,Jonathan,Jackson,cajazi-ziva95@example.com,61400000034,30/12/1978,10/01/2024,Silver,47400,Aria,MGM Grand,22/06/2024,en-US,NV,1588,,03/08/2024,04/08/2024
1036,Julia,Parr,jitaw_odihu97@example.com,61400000035,22/01/1987,15/05/2024,Gold,49133,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,1620,,03/08/2024,04/08/2024
1037,Nicola,Wilkins,lelis_alare96@example.com,61400000036,18/11/1992,15/01/2020,Silver,25000,Aria,Aria,20/06/2024,en-US,CA,1652,,03/08/2024,04/08/2024
1038,Dominic,Bell,macajeh_imu47@example.com,61400000037,07/02/1983,22/11/2019,Diamond,45000,Bellagio,Bellagio,19/06/2024,en-US,NV,1684,,03/08/2024,04/08/2024
1039,Anne,Parsons,siyunoj_apu13@example.com,61400000038,15/04/1979,19/05/2018,Gold,5000,MGM Grand,Bellagio,18/06/2024,en-US,TX,1716,,03/08/2024,04/08/2024
1040,Carl,Anderson,desa-dijohu2@example.com,61400000039,25/05/1981,11/03/2021,Platinum,65000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,1748,,03/08/2024,04/08/2024
1041,Jacob,Mathis,tohugoz_ara6@example.com,61400000040,23/04/1985,25/07/2017,Gold,15000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,1780,,03/08/2024,04/08/2024
1042,Madeleine,Mackay,cafuwac_exi41@example.com,61400000041,12/08/1990,14/09/2020,Platinum,1231,Bellagio,Bellagio,26/06/2024,en-US,CA,1812,,03/08/2024,04/08/2024
1043,Ava,Graham,coj_ipiziya95@example.com,61400000042,14/03/1982,05/06/2019,Bronze,45000,Venetian,Venetian,24/06/2024,en-US,FL,1845,,03/08/2024,04/08/2024
1044,Alison,Scott,xep-elizizo44@example.com,61400000043,08/09/1995,01/08/2021,Diamond,346,MGM Grand,Aria,23/06/2024,en-US,TX,1877,,03/08/2024,04/08/2024
1045,Leah,Reid,laze-xayore22@example.com,61400000044,30/12/1978,10/12/2016,Silver,3543,Aria,MGM Grand,22/06/2024,en-US,NV,1909,,03/08/2024,04/08/2024
1046,Jonathan,Terry,cobizu-vozi68@example.com,61400000045,22/01/1987,08/04/2018,Gold,700,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,1941,,03/08/2024,04/08/2024
1047,Lillian,Welch,zeli_vohupo29@example.com,61400000046,18/11/1992,10/01/2024,Silver,1500,Aria,Aria,20/06/2024,en-US,CA,1973,,03/08/2024,04/08/2024
1048,Karen,Mathis,guwob_acopi37@example.com,61400000047,07/02/1983,15/05/2024,Diamond,840,Bellagio,Bellagio,19/06/2024,en-US,NV,2005,,03/08/2024,04/08/2024
1049,Sonia,Ogden,mex_osabika26@example.com,61400000048,15/04/1979,15/01/2020,Gold,4679,MGM Grand,Bellagio,18/06/2024,en-US,TX,2037,,03/08/2024,04/08/2024
1050,Kylie,Sanderson,nozese-hize41@example.com,61400000049,25/05/1981,22/11/2019,Platinum,3241,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,2069,,03/08/2024,04/08/2024
1051,Lily,Hudson,vaw_esakowe81@example.com,61400000050,23/04/1985,19/05/2018,Gold,1231,Casino Royale,Casino Royale,25/06/2024,en-US,NV,2102,,03/08/2024,04/08/2024
1052,Frank,Nash,kuca_peduli51@example.com,61400000051,12/08/1990,11/03/2021,Platinum,45000,Bellagio,Bellagio,26/06/2024,en-US,CA,2134,,03/08/2024,04/08/2024
1053,Michael,Fraser,nepuz-aguhe4@example.com,61400000052,14/03/1982,25/07/2017,Bronze,346,Venetian,Venetian,24/06/2024,en-US,FL,2166,,03/08/2024,04/08/2024
1054,Carol,Murray,dene-duviwi83@example.com,61400000053,08/09/1995,14/09/2020,Diamond,3543,MGM Grand,Aria,23/06/2024,en-US,TX,2198,,03/08/2024,04/08/2024
1055,Olivia,Randall,koli_nujuma29@example.com,61400000054,30/12/1978,05/06/2019,Silver,700,Aria,MGM Grand,22/06/2024,en-US,NV,2230,,03/08/2024,04/08/2024
1056,Nathan,Newman,lis-afajihe87@example.com,61400000055,22/01/1987,01/08/2021,Gold,561,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,2262,,03/08/2024,04/08/2024
1057,Deirdre,Lambert,cotego_hogi57@example.com,61400000056,18/11/1992,10/12/2016,Silver,840,Aria,Aria,20/06/2024,en-US,CA,2294,,03/08/2024,04/08/2024
1058,Sarah,Grant,lafiz_axedu74@example.com,61400000057,07/02/1983,08/04/2018,Diamond,4679,Bellagio,Bellagio,19/06/2024,en-US,NV,2326,,03/08/2024,04/08/2024
1059,Luke,Mills,wuh_atizoni7@example.com,61400000058,15/04/1979,10/01/2024,Gold,25000,MGM Grand,Bellagio,18/06/2024,en-US,TX,2358,,03/08/2024,04/08/2024
1060,Sue,Robertson,wuvexim_oye19@example.com,61400000059,25/05/1981,15/05/2024,Platinum,45000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,2391,,03/08/2024,04/08/2024
1061,Michelle,Pullman,demoh_ozafe68@example.com,61400000060,23/04/1985,15/01/2020,Gold,5000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,2423,,03/08/2024,04/08/2024
1062,Steven,Martin,cumeri_riyu5@example.com,61400000061,12/08/1990,22/11/2019,Platinum,65000,Bellagio,Bellagio,26/06/2024,en-US,CA,2455,,03/08/2024,04/08/2024
1063,Stephen,Roberts,jey_ipasega1@example.com,61400000062,14/03/1982,19/05/2018,Bronze,420,Venetian,Venetian,24/06/2024,en-US,FL,2487,,03/08/2024,04/08/2024
1064,Anthony,Oliver,mawa-buduja82@example.com,61400000063,08/09/1995,11/03/2021,Diamond,59533,MGM Grand,Aria,23/06/2024,en-US,TX,2519,,03/08/2024,04/08/2024
1065,Lisa,Lambert,mezu-fivoso57@example.com,61400000064,30/12/1978,25/07/2017,Silver,61267,Aria,MGM Grand,22/06/2024,en-US,NV,2551,,03/08/2024,04/08/2024
1066,Jasmine,Campbell,jirabix-otu25@example.com,61400000065,22/01/1987,14/09/2020,Gold,84310,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,2583,,03/08/2024,04/08/2024
1067,Audrey,Sanderson,jago-ruraxu87@example.com,61400000066,18/11/1992,05/06/2019,Silver,85188,Aria,Aria,20/06/2024,en-US,CA,2615,,03/08/2024,04/08/2024
1068,Frank,Duncan,vigozo_juko72@example.com,61400000067,07/02/1983,01/08/2021,Diamond,86066,Bellagio,Bellagio,19/06/2024,en-US,NV,2648,,03/08/2024,04/08/2024
1069,Samantha,Fraser,hek_owagude82@example.com,61400000068,15/04/1979,10/12/2016,Gold,86945,MGM Grand,Bellagio,18/06/2024,en-US,TX,2680,,03/08/2024,04/08/2024
1070,Jake,McGrath,xugadod-ubu84@example.com,61400000069,25/05/1981,08/04/2018,Platinum,25000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,2712,,03/08/2024,04/08/2024
1071,Gavin,Kelly,hov_imunobi34@example.com,61400000070,23/04/1985,10/01/2024,Gold,45000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,2744,,03/08/2024,04/08/2024
1072,Adam,Abraham,pev_ohirulo23@example.com,61400000071,12/08/1990,15/05/2024,Platinum,5000,Bellagio,Bellagio,26/06/2024,en-US,CA,2776,,03/08/2024,04/08/2024
1073,Dominic,Powell,tozut_osijo92@example.com,61400000072,14/03/1982,15/01/2020,Bronze,160,Venetian,Venetian,24/06/2024,en-US,FL,2808,,03/08/2024,04/08/2024
1074,Carolyn,Terry,guba_hasiyi95@example.com,61400000073,08/09/1995,22/11/2019,Diamond,15000,MGM Grand,Aria,23/06/2024,en-US,TX,2840,,03/08/2024,04/08/2024
1075,Lily,Henderson,cehowa_niyi71@example.com,61400000074,30/12/1978,19/05/2018,Silver,28000,Aria,MGM Grand,22/06/2024,en-US,NV,2872,,03/08/2024,04/08/2024
1076,Blake,Nolan,lesen_uzaxu87@example.com,61400000075,22/01/1987,11/03/2021,Gold,25000,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,2905,,03/08/2024,04/08/2024
1077,Faith,Glover,dano-dotoje11@example.com,61400000076,18/11/1992,25/07/2017,Silver,1231,Aria,Aria,20/06/2024,en-US,CA,2937,,03/08/2024,04/08/2024
1078,Alexander,Russell,yahe-sebayi51@example.com,61400000077,07/02/1983,14/09/2020,Diamond,45000,Bellagio,Bellagio,19/06/2024,en-US,NV,2969,,03/08/2024,04/08/2024
1079,Peter,Hart,zem_ohazine1@example.com,61400000078,15/04/1979,05/06/2019,Gold,346,MGM Grand,Bellagio,18/06/2024,en-US,TX,3001,,03/08/2024,04/08/2024
1080,Dylan,McLean,wucor_isowe68@example.com,61400000079,25/05/1981,01/08/2021,Platinum,3543,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,3033,,03/08/2024,04/08/2024
1081,David,James,hahelu-faja84@example.com,61400000080,23/04/1985,10/12/2016,Gold,700,Casino Royale,Casino Royale,25/06/2024,en-US,NV,3065,,03/08/2024,04/08/2024
1082,Connor,Allan,hijocu-tevu68@example.com,61400000081,12/08/1990,08/04/2018,Platinum,1500,Bellagio,Bellagio,26/06/2024,en-US,CA,3097,,03/08/2024,04/08/2024
1083,Olivia,Lyman,fiz-ojesibu51@example.com,61400000082,14/03/1982,10/01/2024,Bronze,840,Venetian,Venetian,24/06/2024,en-US,FL,3129,,03/08/2024,04/08/2024
1084,Rachel,Anderson,sefac_ewuce45@example.com,61400000083,08/09/1995,15/05/2024,Diamond,4679,MGM Grand,Aria,23/06/2024,en-US,TX,3162,,03/08/2024,04/08/2024
1085,Virginia,Bailey,luxa_zupemi61@example.com,61400000084,30/12/1978,15/01/2020,Silver,3241,Aria,MGM Grand,22/06/2024,en-US,NV,3194,,03/08/2024,04/08/2024
1086,Blake,Turner,matace_mezo9@example.com,61400000085,22/01/1987,22/11/2019,Gold,1231,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,3226,,03/08/2024,04/08/2024
1087,Michael,Sanderson,moc_ewapuze55@example.com,61400000086,18/11/1992,19/05/2018,Silver,45000,Aria,Aria,20/06/2024,en-US,CA,3258,,03/08/2024,04/08/2024
1088,Melanie,Gibson,foxuta_hedu50@example.com,61400000087,07/02/1983,11/03/2021,Diamond,346,Bellagio,Bellagio,19/06/2024,en-US,NV,3290,,03/08/2024,04/08/2024
1089,Stephen,Ellison,yosuli_vasa32@example.com,61400000088,15/04/1979,25/07/2017,Gold,3543,MGM Grand,Bellagio,18/06/2024,en-US,TX,3322,,03/08/2024,04/08/2024
1090,Katherine,Hemmings,hak-amofuya49@example.com,61400000089,25/05/1981,14/09/2020,Platinum,700,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,3354,,03/08/2024,04/08/2024
1091,Ruth,White,sevow_oxewo20@example.com,61400000090,23/04/1985,05/06/2019,Gold,561,Casino Royale,Casino Royale,25/06/2024,en-US,NV,3386,,03/08/2024,04/08/2024
1092,Kevin,Brown,cawoye-xere61@example.com,61400000091,12/08/1990,01/08/2021,Platinum,840,Bellagio,Bellagio,26/06/2024,en-US,CA,3418,,03/08/2024,04/08/2024
1093,Jane,Burgess,yusoh_uyahu15@example.com,61400000092,14/03/1982,10/12/2016,Bronze,4679,Venetian,Venetian,24/06/2024,en-US,FL,3451,,03/08/2024,04/08/2024
1094,Justin,Roberts,hinewo_ruya24@example.com,61400000093,08/09/1995,08/04/2018,Diamond,25000,MGM Grand,Aria,23/06/2024,en-US,TX,3483,,03/08/2024,04/08/2024
1095,Adrian,Howard,meyipog-uxe32@example.com,61400000094,30/12/1978,10/01/2024,Silver,45000,Aria,MGM Grand,22/06/2024,en-US,NV,3515,,03/08/2024,04/08/2024
1096,Frank,May,tuy-utibuti19@example.com,61400000095,22/01/1987,15/05/2024,Gold,5000,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,3547,,03/08/2024,04/08/2024
1097,Diane,Alsop,nojozi_biyi10@example.com,61400000096,18/11/1992,15/01/2020,Silver,65000,Aria,Aria,20/06/2024,en-US,CA,3579,,03/08/2024,04/08/2024
1098,Grace,Nash,lirihez-uto41@example.com,61400000097,07/02/1983,22/11/2019,Diamond,15000,Bellagio,Bellagio,19/06/2024,en-US,NV,3611,,03/08/2024,04/08/2024
1099,Dan,Langdon,wuri_pixezo52@example.com,61400000098,15/04/1979,19/05/2018,Gold,28000,MGM Grand,Bellagio,18/06/2024,en-US,TX,3643,,03/08/2024,04/08/2024
1100,Amy,Terry,dire_cobiru38@example.com,61400000099,25/05/1981,11/03/2021,Platinum,25000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,3675,,03/08/2024,04/08/2024
1101,Anthony,Vance,naruto_kipa34@example.com,61400000100,23/04/1985,25/07/2017,Gold,45000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,3708,,03/08/2024,04/08/2024
1102,Jane,Taylor,gomow_ikujo65@example.com,61400000101,12/08/1990,14/09/2020,Platinum,5000,Bellagio,Bellagio,26/06/2024,en-US,CA,3740,,03/08/2024,04/08/2024
1103,Maria,Fisher,dadip_uhida61@example.com,61400000102,14/03/1982,05/06/2019,Bronze,11,Venetian,Venetian,24/06/2024,en-US,FL,3772,,03/08/2024,04/08/2024
1104,Jason,Smith,haguke-lawu33@example.com,61400000103,08/09/1995,01/08/2021,Diamond,15000,MGM Grand,Aria,23/06/2024,en-US,TX,3804,,03/08/2024,04/08/2024
1105,Nathan,Cameron,hobu-diwiro4@example.com,61400000104,30/12/1978,10/12/2016,Silver,45667,Aria,MGM Grand,22/06/2024,en-US,NV,3836,,03/08/2024,04/08/2024
1106,Tracey,Wilkins,cuxa-vewuta68@example.com,61400000105,22/01/1987,08/04/2018,Gold,47400,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,3868,,03/08/2024,04/08/2024
1107,Chloe,Burgess,xewavax-eki53@example.com,61400000106,18/11/1992,10/01/2024,Silver,49133,Aria,Aria,20/06/2024,en-US,CA,3900,,03/08/2024,04/08/2024
1108,Heather,Carr,webel_itufi14@example.com,61400000107,07/02/1983,15/05/2024,Diamond,25000,Bellagio,Bellagio,19/06/2024,en-US,NV,3932,,03/08/2024,04/08/2024
1109,Bella,Davidson,buzomuj-awu16@example.com,61400000108,15/04/1979,15/01/2020,Gold,45000,MGM Grand,Bellagio,18/06/2024,en-US,TX,3965,,03/08/2024,04/08/2024
1110,Evan,Springer,yab_ayuhato30@example.com,61400000109,25/05/1981,22/11/2019,Platinum,5000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,3997,,03/08/2024,04/08/2024
1111,Olivia,Stewart,xiwija-rimo63@example.com,61400000110,23/04/1985,19/05/2018,Gold,65000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,4029,,03/08/2024,04/08/2024
1112,Mary,Campbell,wobayi-fowe16@example.com,61400000111,12/08/1990,11/03/2021,Platinum,15000,Bellagio,Bellagio,26/06/2024,en-US,CA,4061,,03/08/2024,04/08/2024
1113,Emily,Bailey,zad_asomito76@example.com,61400000112,14/03/1982,25/07/2017,Bronze,357,Venetian,Venetian,24/06/2024,en-US,FL,4093,,03/08/2024,04/08/2024
1114,Keith,James,xikoju_mifa87@example.com,61400000113,08/09/1995,14/09/2020,Diamond,61267,MGM Grand,Aria,23/06/2024,en-US,TX,4125,,03/08/2024,04/08/2024
1115,Sam,Alsop,zona-vupubo54@example.com,61400000114,30/12/1978,05/06/2019,Silver,45543,Aria,MGM Grand,22/06/2024,en-US,NV,4157,,03/08/2024,04/08/2024
1116,Warren,Tucker,niye-junolo67@example.com,61400000115,22/01/1987,01/08/2021,Gold,45640,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,4189,,03/08/2024,04/08/2024
1117,Joan,Lee,kubif-iwoja16@example.com,61400000116,18/11/1992,10/12/2016,Silver,45737,Aria,Aria,20/06/2024,en-US,CA,4222,,03/08/2024,04/08/2024
1118,Thomas,Wright,zane_yuzocu90@example.com,61400000117,07/02/1983,08/04/2018,Diamond,45835,Bellagio,Bellagio,19/06/2024,en-US,NV,4254,,03/08/2024,04/08/2024
1119,Heather,Hill,fifoci-jaju60@example.com,61400000118,15/04/1979,10/01/2024,Gold,45932,MGM Grand,Bellagio,18/06/2024,en-US,TX,4286,,03/08/2024,04/08/2024
1120,Jasmine,Hunter,fekisuc_ake19@example.com,61400000119,25/05/1981,15/05/2024,Platinum,1231,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,4318,,03/08/2024,04/08/2024
1121,John,Russell,fevuro-lije62@example.com,61400000120,23/04/1985,15/01/2020,Gold,45000,Casino Royale,Casino Royale,25/06/2024,en-US,NV,4350,,03/08/2024,04/08/2024
1122,Matt,Hart,sag-isohaza33@example.com,61400000121,12/08/1990,22/11/2019,Platinum,346,Bellagio,Bellagio,26/06/2024,en-US,CA,4382,,03/08/2024,04/08/2024
1123,Amy,Piper,wiz_exitutu94@example.com,61400000122,14/03/1982,19/05/2018,Bronze,3543,Venetian,Venetian,24/06/2024,en-US,FL,4414,,03/08/2024,04/08/2024
1124,Stewart,White,xufuno-poza76@example.com,61400000123,08/09/1995,11/03/2021,Diamond,700,MGM Grand,Aria,23/06/2024,en-US,TX,4446,,03/08/2024,04/08/2024
1125,Simon,Payne,xeku_puhuma43@example.com,61400000124,30/12/1978,25/07/2017,Silver,1500,Aria,MGM Grand,22/06/2024,en-US,NV,4478,,03/08/2024,04/08/2024
1126,John,Parr,noye-reniko24@example.com,61400000125,22/01/1987,14/09/2020,Gold,840,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,4511,,03/08/2024,04/08/2024
1127,Caroline,Baker,dipo-himaga4@example.com,61400000126,18/11/1992,05/06/2019,Silver,4679,Aria,Aria,20/06/2024,en-US,CA,4543,,03/08/2024,04/08/2024
1128,Simon,Brown,tejow_oriho85@example.com,61400000127,07/02/1983,01/08/2021,Diamond,3241,Bellagio,Bellagio,19/06/2024,en-US,NV,4575,,03/08/2024,04/08/2024
1129,Grace,MacDonald,nubu-zunixu63@example.com,61400000128,15/04/1979,10/12/2016,Gold,1231,MGM Grand,Bellagio,18/06/2024,en-US,TX,4607,,03/08/2024,04/08/2024
1130,Rachel,Baker,leje_cevixi55@example.com,61400000129,25/05/1981,08/04/2018,Platinum,45000,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,4639,,03/08/2024,04/08/2024
1131,Sebastian,Peake,novi-yoyiya26@example.com,61400000130,23/04/1985,10/01/2024,Gold,346,Casino Royale,Casino Royale,25/06/2024,en-US,NV,4671,,03/08/2024,04/08/2024
1132,Julia,Jackson,pofari-rika13@example.com,61400000131,12/08/1990,15/05/2024,Platinum,3543,Bellagio,Bellagio,26/06/2024,en-US,CA,4703,,03/08/2024,04/08/2024
1133,Nathan,Martin,nuhema_zose29@example.com,61400000132,14/03/1982,15/01/2020,Bronze,700,Venetian,Venetian,24/06/2024,en-US,FL,4735,,03/08/2024,04/08/2024
1134,Gordon,White,son_esovuce32@example.com,61400000133,08/09/1995,22/11/2019,Diamond,561,MGM Grand,Aria,23/06/2024,en-US,TX,4768,,03/08/2024,04/08/2024
1135,Jacob,Wilson,miver-unoji52@example.com,61400000134,30/12/1978,19/05/2018,Silver,840,Aria,MGM Grand,22/06/2024,en-US,NV,4800,,03/08/2024,04/08/2024
1136,Una,Russell,pubelac_azo80@example.com,61400000135,22/01/1987,11/03/2021,Gold,4679,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,4832,,03/08/2024,04/08/2024
1137,Heather,Smith,savi-bijobu36@example.com,61400000136,18/11/1992,25/07/2017,Silver,47682,Aria,Aria,20/06/2024,en-US,CA,4864,,03/08/2024,04/08/2024
1138,Felicity,Ellison,yogani_vuli77@example.com,61400000137,07/02/1983,14/09/2020,Diamond,47779,Bellagio,Bellagio,19/06/2024,en-US,NV,4896,,03/08/2024,04/08/2024
1139,Theresa,Walker,saw-abelune66@example.com,61400000138,15/04/1979,05/06/2019,Gold,47876,MGM Grand,Bellagio,18/06/2024,en-US,TX,4928,,03/08/2024,04/08/2024
1140,Owen,Bailey,fukela-xijo84@example.com,61400000139,25/05/1981,01/08/2021,Platinum,47973,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,4960,,03/08/2024,04/08/2024
1141,David,Black,jifogij-ovi63@example.com,61400000140,23/04/1985,10/12/2016,Gold,48071,Casino Royale,Casino Royale,25/06/2024,en-US,NV,4992,,03/08/2024,04/08/2024
1142,Jasmine,Berry,kimi-tohilu1@example.com,61400000141,12/08/1990,08/04/2018,Platinum,48168,Bellagio,Bellagio,26/06/2024,en-US,CA,5025,,03/08/2024,04/08/2024
1143,Thomas,Ince,fepasic-idi35@example.com,61400000142,14/03/1982,10/01/2024,Bronze,21,Venetian,Venetian,24/06/2024,en-US,FL,5057,,03/08/2024,04/08/2024
